Food_ID,Name,Calories,Food_Type,Meal_Time,Veg_Non,Describe
86,roast turkey with cranberry sauce,260,Healthy Food,Dinner,non-veg,"whole turkey, butter, onion, celery, crumbled sage and thyme , salt and pepper, garlic minced, balsamic vinegar, sugar, cranberry"
87,roasted spring chicken with root veggies,310,Healthy Food,Dinner,non-veg,"whole chicken, thyme, garlic, lemon, orange, salt, black pepper, butter (to rub), extra olive oil, carrot, turnip, beetroot, chipotle powder, parsley"
88,peri peri chicken satay,320,Snack,Dinner,non-veg,"boneless skinless chicken thigh (trimmed), salt and pepper, yogurt, chilli powder, ginger garlic paste, coriander leaves, oil to fry, peri peri sauce, potato fries"
89,chicken popcorn,290,Chinese,Snack,non-veg,"chicken (boneless), corn flour or all purpose flour, egg, bread crumbs, salt, ginger garlic paste, black pepper, onion powder (optional), red chilli powder or paprika or cayenne pepper, oil for deep frying"
90,half roast chicken,450,Healthy Food,Dinner,non-veg,"cooking oil, whole chicken (skin on- rinsed and dressed), onions (quartered- skin on), garlic (halved - skin on), carrots (roughly quartered), celery , thyme, dunkleweizen (pour into a glass and keep open at room temperature for an hour or two to make flat), chicken stock, butter, sea salt"
91,chicken biryani,370,Indian,Dinner,non-veg,"malabar peppercorn, cinnamon stick, green cardamom pods, star anise, cloves, fennel seeds, vermicelli, desi ghee, shahi jeera, bay leaves, green chilli, mint leaves, onion, saffron, garlic paste, salt, chicken (dark meat), ginger paste, turmeric powder, coriander powder, red chilli powder, roma tomatoes (de-seedeed), water"
92,chicken farcha,310,Indian,Snack,non-veg,"boneless chicken thigh (without skin), lemon juice, garlic paste, ginger paste, red chilli powder, coriander powder, garam masala, black pepper (crushed), salt, bread crumbs / semolina, eggs, red chilli powder, oil"
93,buldak (hot and spicy chicken),420,Japanese,Snack,non-veg,"chicken drum sticks/ chicken breast, soy sauce, sugar, traditional corn syrup (substitution honey), cheong ju (clear rice wine similar to japanese sake), green onion, black pepper, olive oil, sesame seeds (optional), for marinating sauce:, gochugaru (red chili pepper flakes), alapenos, korean pear (substitution asian pear), onion, garlic, soy sauce, spicy yellow mustard, sesame oil, sugar, mul yut (substitution honey)"
94,chicken sukka,350,Indian,Snack,non-veg,"chicken (small pieces), onion (thin slices), cardamom, salt, oil, coriander, cumin, mustard, pepper, cloves, cinnamon, bedki chillies, kashmiri chilies, turmeric, onion, garlic, ginger, salt"
95,steamed chicken roulade,480,French,Dinner,non-veg,"lamb mince, garlic , salt, paprika powder, pomodaro tomatoes, olive oil, celery, shallots, carrot, black pepper, bay leaf, yellow chilli powder, cilantro, chicken thigh, salt, white pepper powder, garlic paste, white wine vinegar, olive oil, yellow chilli powder, refined oil, fenugreek seeds, white pepper powder, garlic, fenugreek leaves, onion, broken cashew, salt, fresh cream, kasoori methi"
96,methi chicken masala,320,Indian,Dinner,non-veg,"boneless chicken, lemon juice, red chilli powder, salt, ginger garlic paste, curd, red chilli powder, salt, coriander powder, oil, onion, oil, bay leaf, green cardamom, black cardamom, cinnamon, ginger garlic paste, tomato, kasoori methi, green chilli, water"
97,restaurant style fried chicken,370,Chinese,Dinner,non-veg,"egg, salt, white pepper, maida, salt, red chilli powder, garlic powder, ginger powder, onion powder, oregano, chillil flakes, white pepper, basil, chicken drumsticks, salt, white pepper, bread crumbs (as required)"
98,chicken potli,300,Chinese,Dinner,non-veg,"chicken, onion, green chilli, garlic, ginger, salt, aromatic powder, soya sauce, oyster sauce, spring onion, filo sheets"
99,spicy chicken masala,380,Indian,Dinner,non-veg,"mustard oil, curry leaves, kalonjee, saunf, garlic, onion, tomatoes, ginger, green chillies, boneless chicken, salt, tomato puree, red chilli powder, cumin powder, black salt, peppercorn (crushed), water, mint, coriander"
100,spicy chicken curry,310,Indian,Dinner,non-veg,"oil, ghee, onion paste, garlic paste, ginger paste, turmeric powder, salt, tomato puree, coriander powder, red chilli powder, cumin powder, garam masala, chicken leg pieces, coriander leaves, water"
101,crispy herb chicken,420,Italian,Dinner,non-veg,"fresh breadcrumbs, parmesan cheese, lemon rind, fresh parsley leaves, garlic powder, plain flour, egg, milk, chicken breast supremes, vegetable oil, mayonnaise, sour cream, fresh chives (dried if fresh not available), fresh parsley (dried if fresh not available), garlic, red onion (optional), ground black pepper, salt"
102,dahi chicken,310,Indian,Dinner,non-veg,"dahi, cumin powder, garlic paste, garam masala, turmeric powder, red chilli powder, salt, boneless chicken, oil, green chilli, onion, tomato"
103,amritsari chicken masala,340,Indian,Dinner,non-veg,"chicken, ginger garlic paste, curd, lemon juice, vinegar, coriander powder, cumin powder, red chilli powder, salt, onion, butter, red chilli powder, coriander powder, cumin powder, ginger, water, salt, green chilli, tomatoes, sugar, butter , cream"
104,chilli chicken,360,Chinese,Dinner,non-veg,"boneless chicken, salt, cornflour, black pepper, egg, soy sauce, red chilli sauce, garlic, green chillies, green chilli sauce, vinegar, onion, capsicum, black pepper, salt"
105,chicken tenders,320,Snack,Snack,non-veg,"chicken breast (cut into strips), salt, garlic paste, ginger paste, green chilli paste, oats, refined flour, salt, freshly ground black pepper, fried mixed herbs (italian herb), garlic powder"
106,chicken nimbu dhaniya shorba,230,Beverage,Dinner,non-veg,"water, chicken (diced)), ginger garlic paste, coriander, lemon, cream, butter, turmeric powder, green chilli paste, cornflour, salt"
107,garlic soya chicken,410,Healthy Food,Dinner,non-veg,"chicken thigh/breast (cut crosswise into 1/2-inch-thin strips), sesame oil (toasted), white pepper (finely ground), ginger juice, peanut oil or vegetable oil (divided), garlic cloves (minced), ginger, red chilli flakes, red onion , snow peas (trimmed), red bell pepper (cut into thin strips), rice vinegar, soy sauce, dark soy sauce, chinese rice wine, brown sugar, cornflour"
108,cauliflower and chicken biryani,460,Indian,Dinner,non-veg,"boneless chicken, biryani masala, yogurt, onions, coconut oil, cauliflower, coconut (diced), onion (diced), peppercorns, cardamoms, cumin seeds, bay leaves, cinnamon, cloves, coconut oil, garam masala, dry chilli flakes, turmeric powder, black peppercorns, cardamom, cinnamon, garlic (crushed), tomato puree, green chillies, fresh ginger (peeled), dry red chilli, salt"
109,chicken quinoa biryani,480,Healthy Food,Dinner,non-veg,"onions, tomato, green chillies(slit open), ginger garlic paste, mint leaves, coriander leaves/cilantro, fresh yogurt/curd(beaten), turmeric powder, chilli powder, salt, chicken (cut into pieces), garam masala powder, ginger garlic paste, yogurt/curd, chilli powder, coriander powder, salt, oil, cloves, bay leaf , cardamom"
110,chicken and mushroom lasagna,380,Italian,Dinner,non-veg,"chicken, salt, crush black pepper, garlic cloves (minced), olive oil, fresh thyme, button mushroom, onion, low fat milk, basil, basil-tomato sauce"
111,plum and cherry roasted chicken,330,Healthy Food,Dinner,non-veg,"carrot (finely diced), onion (finely diced), celery (finely diced), fresh thyme sprigs, whole free range chicken , pepper (freshly ground), parsley stems, celery leaves, lemon slices (1/8 inch thick), onion, carrot, fresh lemon juice, chicken stock/broth, plums (cut), fresh cherries"
112,chicken roulade,350,French,Dinner,non-veg,"chicken breasts, olives, jalapenos, bell peppers(all 3), thyme dried, white wine, salt, black pepper (crushed to taste), egg, olive oil, mozerella cheese, processed cheese"
113,sticky rum chicken wings,380,Snack,Snack,non-veg,"chicken wings without skin, hung curd, chilli powder, sweet paprika powder, english mustard paste, garlic paste, salt, garlic, rum, bbq sauce"
114,chicken dragon,270,Chinese,Snack,non-veg,"Chicken (boneless and cut into small pieces), eggs (lightly whipped), maida, garlic paste, ginger paste, salt, water, oil"
115,chicken palwal,310,Indian,Snack,non-veg,"Chicken, Onion, Tomato, Green Chilli, Cumin Powder, Coriander Powder, Green Coriander, Curd, Ginger Garlic, Red Chilli Powder, Salt, Oil"
116,pan seared thigh of chicken,440,Mexican,Dinner,non-veg,"Chicken Thai, Salt, Pepper, Lemon, Fresh Thyme, Barley, Brockley, Mushroom, Extra Virgin Olive Oil, Cherry Tomato"
117,chicken in mahalak sauce,380,Indian,Dinner,non-veg,"Salt, sugar, seasonings, oil, corn flour, chicken leg, fresh chilli, garlic, ginger, onion, red chili paste, tomato catchup, paprika, yellow capsicum, vegetable stock"
118,grilled kasundi honey chicken with sweet potato mash,360,Indian,Dinner,non-veg,"Chicken breast, kasundi (Bengali mustard sauce), sweet potato, red and yellow capsicum, broccoli, garlic buds, refined oil, salt, butter, cream, green onion, honey, ginger and garlic paste"
119,chicken dong style,340,Chinese,Dinner,non-veg,"Oil, chicken breast, garlic, ginger, tomato catchup, oyster sauce, shitake mushrooms, bomb shoots (boiled), salt, sugar, broth powder, shocking wine, potato starch, sesame oil, green onions"
120,microwave tandoori chicken,450,Indian,Dinner,non-veg,"Chicken (sliced), garlic paste, ginger paste, Hung curd, salt, garam masala, coriander powder, pepper powder, cream, oil, for garnishing:, lemon pieces, onion rings"
121,methi malai cranberry chicken,380,Indian,Dinner,non-veg,"Chicken (sliced ??into large pieces), salt, cranberry puree, red chilli powder, garam masala, coriander powder, cumin powder, chaat masala, corn flour, fenugreek leaves, gram flour, ginger, garlic, cream, Greek yogurt, butter"
122,southern fried chicken tenders,420,Snack,Snack,non-veg,"Chicken breast (cut 20 strips, 20 grams), all purpose flour, salt, hot red chillies, eggs, bread crumbles, white cabbage slaw, pasarley sprig, honey-mustard dip, green bell pepper"
123,thai style chicken tikka,370,Thai,Snack,non-veg,"Chicken Thais, Thai Ginger, Lemon Leaves, Lemongrass, Coconut Milk Powder, Refined Oil, Red Curry Paste, Peanut Butter, Bezel Leaves, Lotus Stem, Yellow Butter, Chaat Masala"
124,chicken gilafi kebab,410,Indian,Snack,non-veg,"Chicken Mince, Onion, Tomato, Green Capsicum, Green Coriander, Green Chilli, Salt, Oil, Cashew, Almond, Mint, Red Chilli Powder, Ginger Garlic Paste, Cumin Powder, Lemon Juice, Fresh Cream, Kewda Water"
125,cheese chicken kebabs,370,Indian,Snack,non-veg,"Chicken Thais, Garlic Paste, Garlic Paste, Yellow Chilli Powder, Cheese, Curd, Gram Flour, Green Cardamom Powder, Yellow Chilli Powder, Mace Powder, Nutmeg Powder, Rock Salt, Green Coriander, Oil"
126,andhra crab meat masala,320,Indian,Dinner,non-veg,"processed crab meat, refined oil, curry leaves, garlic, green chilli, onion, ginger-garlic paste, coriander, coriander powder, cumin powder, turmeric powder, garam masala powder, kashmiri chilli powder, salt, lemon, chop masala, tomato"
127,cajun spiced turkey wrapped with bacon,490,Mexican,Dinner,non-veg,"turkey breast, cajun spice, spinach leaves (cooked and drained), garlic pods, salted butter, feta cheese, bacon strips, ground black pepper, for cajun spice:, onion powder, garlic powder, seasoning salt, paprika, ground black pepper, cayenne pepper, oregano, thyme, red pepper flakes (if you like it spicy))"
128,thai lamb balls,360,Thai,Dinner,non-veg,"lamb (minced), couscous, scallion, garlic, egg, parsley, olive oil, mint, ao nori herb, salt, five spice, cinnamon powder"
129,oyster lamb,380,Thai,Dinner,non-veg,"vegetable oil, garlic, ginger, lamb, stock, oyster sauce, dry sherry, sugar, celery, salt, bokchoy, shitake mushroom"
130,chicken shami kebab,290,Indian,Dinner,non-veg,"oil, cumin seeds, cloves, black peppercorns, cinnamon, coriander seeds, ajwain, red chilli whole, chilli flakes, boneless chicken, salt, water, ginger, green chilli, garlic, coriander leaves , mint leaves , egg"
131,balti meat,430,Mexican,Dinner,non-veg,"refined oil, black cardamoms, green cardamoms, mace, clove, cinnamon stick, black pepper corn, ginger garlic paste, ginger, green chilies, mutton curry cut, brown onion paste, salt, kashmiri red chili powder, tomato puree, garam masala powder, coriander powder, cumin powder"
132,coffee marinated mutton chops,400,Thai,Dinner,non-veg,"mutton chops, espresso, honey, balsamic vinegar, rosemary, pink peppercorns (crushed), olive oil, salt"
